dummy(1)            x[cm](2)            T[K](3)             v[cm/s](4)          m[kg/m2/s](5)       rho[kg/m3](6)       fv(L)[-](7)         x(L)[-](8)          w(L)[-](9)          rho(L)[kg/m3](10)   N(L)[#/cm3](11)     H/C(L)[-](12)       O/C(L)[-](13)       O/H(L)[-](14)       fv(S)[-](15)        x(S)[-](16)         w(S)[-](17)         rho(S)[kg/m3](18)   N(S)[#/cm3](19)     H/C(S)[-](20)       O/C(S)[-](21)       O/H(S)[-](22)       
0                   2.000000000e-01     1.941241914e+03     3.372960534e+01     6.312328162e-02     1.871450347e-01     1.187703387e-10     5.173480309e-09     9.558322475e-07     1.788792591e-07     1.955854628e+10     1.668159249e-01     0.000000000e+00     0.000000000e+00     1.598357207e-10     1.284451203e-07     1.281111099e-06     2.397535810e-07     4.855918415e+11     3.618763690e-01     0.000000000e+00     0.000000000e+00     
0                   2.285714286e-01     1.935152994e+03     3.285896958e+01     6.163482448e-02     1.875738201e-01     1.488751539e-10     6.481039935e-09     1.194518084e-06     2.240603202e-07     2.457892151e+10     1.674220971e-01     0.000000000e+00     0.000000000e+00     1.732061924e-10     1.373609635e-07     1.385104213e-06     2.598092885e-07     5.209325005e+11     3.563268189e-01     0.000000000e+00     0.000000000e+00     
0                   2.571428571e-01     1.927737158e+03     3.187234733e+01     5.996797659e-02     1.881504866e-01     1.799610398e-10     7.758550168e-09     1.438820232e-06     2.707147268e-07     2.953698656e+10     1.672326396e-01     0.000000000e+00     0.000000000e+00     1.820640204e-10     1.429242809e-07     1.451476611e-06     2.730960306e-07     5.441161650e+11     3.523272955e-01     0.000000000e+00     0.000000000e+00     
0                   2.857142857e-01     1.918833310e+03     3.076965072e+01     5.812225164e-02     1.888947397e-01     2.114852753e-10     8.972144328e-09     1.683633865e-06     3.180295807e-07     3.431566610e+10     1.665438599e-01     0.000000000e+00     0.000000000e+00     1.882189987e-10     1.465296150e-07     1.494633987e-06     2.823284980e-07     5.604302784e+11     3.496129415e-01     0.000000000e+00     0.000000000e+00     
0                   3.142857143e-01     1.908129474e+03     2.954901488e+01     5.609690555e-02     1.898435727e-01     2.429849090e-10     1.009278584e-08     1.924275481e-06     3.653113321e-07     3.881831225e+10     1.655290246e-01     0.000000000e+00     0.000000000e+00     1.932053764e-10     1.492996406e-07     1.526562425e-06     2.898080646e-07     5.742279843e+11     3.479838757e-01     0.000000000e+00     0.000000000e+00     
0                   3.428571429e-01     1.895210313e+03     2.820807444e+01     5.389083550e-02     1.910475513e-01     2.740881650e-10     1.109603548e-08     2.156547374e-06     4.120030951e-07     4.296787315e+10     1.642974506e-01     0.000000000e+00     0.000000000e+00     1.982822341e-10     1.521202760e-07     1.556802739e-06     2.974233511e-07     5.890648722e+11     3.473136596e-01     0.000000000e+00     0.000000000e+00     
0                   3.714285714e-01     1.879567082e+03     2.674460613e+01     5.150248910e-02     1.925714997e-01     3.045090296e-10     1.196077162e-08     2.376658449e-06     4.576766819e-07     4.670192682e+10     1.629231514e-01     0.000000000e+00     0.000000000e+00     2.044569895e-10     1.556685365e-07     1.592579820e-06     3.066854842e-07     6.078220393e+11     3.475378890e-01     0.000000000e+00     0.000000000e+00     
0                   4.000000000e-01     1.860595316e+03     2.515704051e+01     4.892977304e-02     1.944973337e-01     3.340558986e-10     1.266852646e-08     2.581247608e-06     5.020457774e-07     4.996979994e+10     1.614602475e-01     0.000000000e+00     0.000000000e+00     2.124696614e-10     1.603962611e-07     1.638605969e-06     3.187044920e-07     6.326678247e+11     3.486236880e-01     0.000000000e+00     0.000000000e+00     
0                   4.285714286e-01     1.837591032e+03     2.344505021e+01     4.616995955e-02     1.969283884e-01     3.627216037e-10     1.320763683e-08     2.768017230e-06     5.451011722e-07     5.274844815e+10     1.599564205e-01     0.000000000e+00     0.000000000e+00     2.227185340e-10     1.664618922e-07     1.696443076e-06     3.340778010e-07     6.648128353e+11     3.505173764e-01     0.000000000e+00     0.000000000e+00     
0                   4.428571429e-01     1.824286943e+03     2.254233027e+01     4.471899336e-02     1.983778644e-01     3.769030656e-10     1.342291522e-08     2.855182414e-06     5.664049896e-07     5.399917552e+10     1.592263386e-01     0.000000000e+00     0.000000000e+00     2.286283949e-10     1.698931037e-07     1.728734168e-06     3.429425924e-07     6.834646107e+11     3.517133417e-01     0.000000000e+00     0.000000000e+00     
